Geography,Total Population - Estimate,"Total Population - 
Margin of Error",Hispanic or Latino - Estimate,"Hispanic or Latino -
Margin of Error",Hispanic or Latino - Percent,Hispanic or Latino - Percent Margin of Error,"White alone, Not Hispanic or Latino - 
Estimate","White alone, Not Hispanic or Latino -
Margin of Error","White alone, Not Hispanic or Latino - 
Percent","White alone, Not Hispanic or Latino - Percent Margin of Error","Black alone, Not Hispanic or Latino - Estimate","Black alone, Not Hispanic or Latino -
Margin of Error","Black alone, Not Hispanic or Latino - Percent","Black alone, Not Hispanic or Latino - Percent Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino - Estimate","American Indian and Alaska Native alone, Not Hispanic or Latino - Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino - Percent","American Indian and Alaska Native alone, Not Hispanic or Latino - Percent Margin of Error","Asian alone, Not Hispanic or Latino - Estimate","Asian alone, Not Hispanic or Latino - 
Margin of Error","Asian alone, Not Hispanic or Latino - Percent","Asian alone, Not Hispanic or Latino - Percent Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Estimate","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Percent","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Percent Margin of Error","Some other race alone, Not Hispanic or Latino - 
Estimate","Some other race alone, Not Hispanic or Latino - 
Margin of Error","Some other race alone, Not Hispanic or Latino - 
Percent","Some other race alone, Not Hispanic or Latino - 
Percent Margin of Error","Two or more races alone, Not Hispanic or Latino - Estimate","Two or more races alone, Not Hispanic or Latino - Margin of Error","Two or more races alone, Not Hispanic or Latino - Percent","Two or more races alone, Not Hispanic or Latino - Percent Margin of Error"
Littlerock CDP,786,+/-437,474,+/-391,60.3%,+/-24.7,281,+/-175,35.8%,+/-23.4,0,+/-12,0.0%,+/-4.4,0,+/-12,0.0%,+/-4.4,0,+/-12,0.0%,+/-4.4,0,+/-12,0.0%,+/-4.4,0,+/-12,0.0%,+/-4.4,31,+/-52,3.9%,+/-6.7
Lomita city,"20,514",+/-50,"6,845",+/-715,33.4%,+/-3.5,"8,097",+/-729,39.5%,+/-3.5,"1,253",+/-288,6.1%,+/-1.4,52,+/-66,0.3%,+/-0.3,"3,255",+/-477,15.9%,+/-2.3,69,+/-91,0.3%,+/-0.4,68,+/-72,0.3%,+/-0.4,875,+/-275,4.3%,+/-1.3
Long Beach city,"466,776",+/-97,"198,872","+/-2,904",42.6%,+/-0.6,"131,457","+/-2,337",28.2%,+/-0.5,"56,990","+/-1,902",12.2%,+/-0.4,"1,546",+/-380,0.3%,+/-0.1,"59,918","+/-2,036",12.8%,+/-0.4,"3,488",+/-735,0.7%,+/-0.2,"1,464",+/-558,0.3%,+/-0.1,"13,041","+/-1,042",2.8%,+/-0.2
Los Angeles city,"3,966,936",+/-82,"1,922,409","+/-6,867",48.5%,+/-0.2,"1,129,956","+/-5,063",28.5%,+/-0.1,"341,750","+/-4,634",8.6%,+/-0.1,"6,374",+/-836,0.2%,+/-0.1,"454,688","+/-4,897",11.5%,+/-0.1,"5,103",+/-845,0.1%,+/-0.1,"14,762","+/-1,287",0.4%,+/-0.1,"91,894","+/-3,004",2.3%,+/-0.1
Lynwood city,"70,635",+/-55,"62,215",+/-990,88.1%,+/-1.4,"1,681",+/-350,2.4%,+/-0.5,"5,687",+/-945,8.1%,+/-1.3,227,+/-167,0.3%,+/-0.2,479,+/-206,0.7%,+/-0.3,95,+/-111,0.1%,+/-0.2,73,+/-57,0.1%,+/-0.1,178,+/-129,0.3%,+/-0.2
Malibu city,"12,620",+/-27,"1,135",+/-405,9.0%,+/-3.2,"10,518",+/-500,83.3%,+/-4.0,133,+/-98,1.1%,+/-0.8,0,+/-19,0.0%,+/-0.3,258,+/-125,2.0%,+/-1.0,27,+/-41,0.2%,+/-0.3,0,+/-19,0.0%,+/-0.3,549,+/-252,4.4%,+/-2.0
Manhattan Beach city,"35,500",+/-70,"2,838",+/-453,8.0%,+/-1.3,"26,018",+/-668,73.3%,+/-1.9,155,+/-112,0.4%,+/-0.3,64,+/-63,0.2%,+/-0.2,"4,763",+/-472,13.4%,+/-1.3,34,+/-40,0.1%,+/-0.1,47,+/-61,0.1%,+/-0.2,"1,581",+/-312,4.5%,+/-0.9
Marina del Rey CDP,"9,852","+/-1,045","1,068",+/-577,10.8%,+/-5.5,"6,560",+/-783,66.6%,+/-7.7,730,+/-670,7.4%,+/-6.5,0,+/-17,0.0%,+/-0.4,"1,038",+/-419,10.5%,+/-4.1,56,+/-85,0.6%,+/-0.9,99,+/-91,1.0%,+/-1.0,301,+/-153,3.1%,+/-1.6
Mayflower Village CDP,"5,873",+/-378,"1,947",+/-332,33.2%,+/-5.2,"1,481",+/-210,25.2%,+/-3.7,31,+/-33,0.5%,+/-0.6,21,+/-26,0.4%,+/-0.4,"2,136",+/-416,36.4%,+/-6.3,64,+/-65,1.1%,+/-1.1,35,+/-42,0.6%,+/-0.7,158,+/-81,2.7%,+/-1.4
Maywood city,"27,332",+/-65,"26,883",+/-135,98.4%,+/-0.5,284,+/-89,1.0%,+/-0.3,72,+/-53,0.3%,+/-0.2,8,+/-13,0.0%,+/-0.1,67,+/-44,0.2%,+/-0.2,0,+/-23,0.0%,+/-0.1,13,+/-15,0.0%,+/-0.1,5,+/-8,0.0%,+/-0.1
Monrovia city,"36,816",+/-102,"15,143",+/-959,41.1%,+/-2.6,"12,692",+/-839,34.5%,+/-2.3,"1,947",+/-636,5.3%,+/-1.7,0,+/-26,0.0%,+/-0.1,"5,413",+/-473,14.7%,+/-1.3,426,+/-245,1.2%,+/-0.7,18,+/-33,0.0%,+/-0.1,"1,177",+/-274,3.2%,+/-0.7
Montebello city,"62,742",+/-49,"48,549",+/-837,77.4%,+/-1.3,"4,396",+/-514,7.0%,+/-0.8,598,+/-273,1.0%,+/-0.4,139,+/-145,0.2%,+/-0.2,"8,428",+/-614,13.4%,+/-1.0,7,+/-10,0.0%,+/-0.1,63,+/-69,0.1%,+/-0.1,562,+/-340,0.9%,+/-0.5
Monterey Park city,"60,439",+/-74,"17,254",+/-999,28.5%,+/-1.7,"2,340",+/-334,3.9%,+/-0.6,222,+/-120,0.4%,+/-0.2,277,+/-186,0.5%,+/-0.3,"39,451","+/-1,050",65.3%,+/-1.7,281,+/-189,0.5%,+/-0.3,18,+/-19,0.0%,+/-0.1,596,+/-180,1.0%,+/-0.3
North El Monte CDP,"3,933",+/-451,"1,058",+/-412,26.9%,+/-9.3,988,+/-223,25.1%,+/-5.7,42,+/-39,1.1%,+/-1.0,4,+/-9,0.1%,+/-0.2,"1,715",+/-356,43.6%,+/-7.4,0,+/-12,0.0%,+/-0.9,0,+/-12,0.0%,+/-0.9,126,+/-85,3.2%,+/-2.3
Norwalk city,"105,304",+/-158,"73,429","+/-1,271",69.7%,+/-1.2,"10,861",+/-846,10.3%,+/-0.8,"4,713",+/-844,4.5%,+/-0.8,178,+/-103,0.2%,+/-0.1,"14,247",+/-965,13.5%,+/-0.9,701,+/-417,0.7%,+/-0.4,165,+/-116,0.2%,+/-0.1,"1,010",+/-253,1.0%,+/-0.2
Palmdale city,"156,293",+/-62,"94,377","+/-1,666",60.4%,+/-1.1,"31,302","+/-1,521",20.0%,+/-1.0,"19,772","+/-1,419",12.7%,+/-0.9,788,+/-452,0.5%,+/-0.3,"7,189",+/-933,4.6%,+/-0.6,231,+/-178,0.1%,+/-0.1,215,+/-96,0.1%,+/-0.1,"2,419",+/-511,1.5%,+/-0.3
Palos Verdes Estates city,"13,434",+/-25,"1,045",+/-272,7.8%,+/-2.0,"8,782",+/-435,65.4%,+/-3.3,51,+/-43,0.4%,+/-0.3,2,+/-4,0.0%,+/-0.1,"3,083",+/-360,22.9%,+/-2.7,0,+/-19,0.0%,+/-0.3,30,+/-34,0.2%,+/-0.2,441,+/-192,3.3%,+/-1.4
Paramount city,"54,513",+/-33,"44,144",+/-767,81.0%,+/-1.4,"3,004",+/-426,5.5%,+/-0.8,"4,804",+/-567,8.8%,+/-1.0,27,+/-31,0.0%,+/-0.1,"1,555",+/-386,2.9%,+/-0.7,370,+/-251,0.7%,+/-0.5,134,+/-83,0.2%,+/-0.2,475,+/-197,0.9%,+/-0.4
Pasadena city,"141,258",+/-64,"49,324","+/-1,831",34.9%,+/-1.3,"50,671","+/-1,527",35.9%,+/-1.1,"11,758","+/-1,152",8.3%,+/-0.8,192,+/-115,0.1%,+/-0.1,"23,822","+/-1,239",16.9%,+/-0.9,245,+/-172,0.2%,+/-0.1,505,+/-196,0.4%,+/-0.1,"4,741",+/-624,3.4%,+/-0.4
Pico Rivera city,"63,001",+/-49,"57,125",+/-470,90.7%,+/-0.8,"3,328",+/-489,5.3%,+/-0.8,487,+/-193,0.8%,+/-0.3,57,+/-40,0.1%,+/-0.1,"1,666",+/-285,2.6%,+/-0.5,52,+/-51,0.1%,+/-0.1,87,+/-90,0.1%,+/-0.1,199,+/-110,0.3%,+/-0.2
Pomona city,"152,209",+/-93,"109,146","+/-1,440",71.7%,+/-0.9,"16,494",+/-959,10.8%,+/-0.6,"8,061",+/-764,5.3%,+/-0.5,422,+/-239,0.3%,+/-0.2,"15,319","+/-1,007",10.1%,+/-0.7,110,+/-95,0.1%,+/-0.1,471,+/-228,0.3%,+/-0.2,"2,186",+/-388,1.4%,+/-0.3
Quartz Hill CDP,"10,003",+/-807,"3,170",+/-622,31.7%,+/-4.9,"5,426",+/-542,54.2%,+/-5.8,604,+/-296,6.0%,+/-2.9,160,+/-226,1.6%,+/-2.2,343,+/-185,3.4%,+/-1.8,23,+/-31,0.2%,+/-0.3,0,+/-19,0.0%,+/-0.3,277,+/-168,2.8%,+/-1.7
Rancho Palos Verdes city,"42,030",+/-50,"4,360",+/-656,10.4%,+/-1.6,"21,129",+/-877,50.3%,+/-2.1,771,+/-474,1.8%,+/-1.1,71,+/-68,0.2%,+/-0.2,"13,077",+/-690,31.1%,+/-1.6,367,+/-260,0.9%,+/-0.6,54,+/-75,0.1%,+/-0.2,"2,201",+/-547,5.2%,+/-1.3
Redondo Beach city,"67,423",+/-67,"10,771","+/-1,156",16.0%,+/-1.7,"40,679","+/-1,289",60.3%,+/-1.9,"2,111",+/-613,3.1%,+/-0.9,183,+/-130,0.3%,+/-0.2,"9,101",+/-689,13.5%,+/-1.0,63,+/-55,0.1%,+/-0.1,419,+/-233,0.6%,+/-0.3,"4,096",+/-572,6.1%,+/-0.8
Rolling Hills city,"1,513",+/-138,88,+/-54,5.8%,+/-3.6,"1,079",+/-123,71.3%,+/-5.7,22,+/-25,1.5%,+/-1.6,0,+/-12,0.0%,+/-2.3,236,+/-53,15.6%,+/-3.2,0,+/-12,0.0%,+/-2.3,0,+/-12,0.0%,+/-2.3,88,+/-51,5.8%,+/-3.2
Rolling Hills Estates city,"8,169",+/-62,836,+/-297,10.2%,+/-3.6,"4,477",+/-326,54.8%,+/-4.0,153,+/-119,1.9%,+/-1.5,6,+/-9,0.1%,+/-0.1,"2,349",+/-249,28.8%,+/-3.1,0,+/-17,0.0%,+/-0.4,9,+/-14,0.1%,+/-0.2,339,+/-98,4.1%,+/-1.2
Rose Hills CDP,"2,771",+/-219,"1,429",+/-239,51.6%,+/-6.0,816,+/-152,29.4%,+/-5.8,0,+/-12,0.0%,+/-1.3,0,+/-12,0.0%,+/-1.3,469,+/-124,16.9%,+/-4.4,0,+/-12,0.0%,+/-1.3,15,+/-24,0.5%,+/-0.8,42,+/-42,1.5%,+/-1.5
Rosemead city,"54,282",+/-104,"17,679","+/-1,092",32.6%,+/-2.0,"2,202",+/-489,4.1%,+/-0.9,222,+/-94,0.4%,+/-0.2,145,+/-144,0.3%,+/-0.3,"33,449","+/-1,126",61.6%,+/-2.1,11,+/-15,0.0%,+/-0.1,0,+/-29,0.0%,+/-0.1,574,+/-240,1.1%,+/-0.4
Rowland Heights CDP,"50,347","+/-1,264","13,277",+/-942,26.4%,+/-1.7,"4,009",+/-440,8.0%,+/-0.9,702,+/-261,1.4%,+/-0.5,152,+/-212,0.3%,+/-0.4,"31,363","+/-1,192",62.3%,+/-1.7,145,+/-143,0.3%,+/-0.3,63,+/-53,0.1%,+/-0.1,636,+/-204,1.3%,+/-0.4
San Dimas city,"34,048",+/-45,"11,452",+/-830,33.6%,+/-2.4,"15,948",+/-803,46.8%,+/-2.4,625,+/-315,1.8%,+/-0.9,128,+/-147,0.4%,+/-0.4,"4,710",+/-720,13.8%,+/-2.1,17,+/-23,0.0%,+/-0.1,26,+/-43,0.1%,+/-0.1,"1,142",+/-390,3.4%,+/-1.1
San Fernando city,"24,535",+/-25,"22,859",+/-392,93.2%,+/-1.6,"1,010",+/-202,4.1%,+/-0.8,177,+/-202,0.7%,+/-0.8,123,+/-181,0.5%,+/-0.7,320,+/-181,1.3%,+/-0.7,6,+/-11,0.0%,+/-0.1,22,+/-22,0.1%,+/-0.1,18,+/-24,0.1%,+/-0.1
San Gabriel city,"40,143",+/-48,"10,255","+/-1,038",25.5%,+/-2.6,"4,259",+/-580,10.6%,+/-1.4,231,+/-112,0.6%,+/-0.3,39,+/-34,0.1%,+/-0.1,"24,653","+/-1,031",61.4%,+/-2.6,64,+/-83,0.2%,+/-0.2,45,+/-30,0.1%,+/-0.1,597,+/-235,1.5%,+/-0.6
San Marino city,"13,194",+/-42,825,+/-427,6.3%,+/-3.2,"3,736",+/-614,28.3%,+/-4.6,246,+/-248,1.9%,+/-1.9,0,+/-19,0.0%,+/-0.3,"7,979",+/-626,60.5%,+/-4.7,27,+/-42,0.2%,+/-0.3,9,+/-14,0.1%,+/-0.1,372,+/-167,2.8%,+/-1.3
San Pasqual CDP,"1,970",+/-157,404,+/-143,20.5%,+/-6.6,915,+/-108,46.4%,+/-6.2,93,+/-52,4.7%,+/-2.6,0,+/-12,0.0%,+/-1.8,520,+/-109,26.4%,+/-4.8,0,+/-12,0.0%,+/-1.8,11,+/-19,0.6%,+/-1.0,27,+/-21,1.4%,+/-1.0
Santa Clarita city,"213,411",+/-92,"71,489","+/-2,080",33.5%,+/-1.0,"102,119","+/-2,147",47.9%,+/-1.0,"7,895",+/-828,3.7%,+/-0.4,522,+/-209,0.2%,+/-0.1,"23,083","+/-1,156",10.8%,+/-0.5,174,+/-153,0.1%,+/-0.1,543,+/-210,0.3%,+/-0.1,"7,586",+/-848,3.6%,+/-0.4
Santa Fe Springs city,"17,810",+/-39,"13,266",+/-644,74.5%,+/-3.6,"2,294",+/-551,12.9%,+/-3.1,652,+/-319,3.7%,+/-1.8,31,+/-27,0.2%,+/-0.2,"1,206",+/-305,6.8%,+/-1.7,9,+/-14,0.1%,+/-0.1,207,+/-187,1.2%,+/-1.1,145,+/-73,0.8%,+/-0.4
Santa Monica city,"91,577",+/-52,"14,097","+/-1,066",15.4%,+/-1.2,"59,200","+/-1,520",64.6%,+/-1.7,"3,995",+/-750,4.4%,+/-0.8,86,+/-66,0.1%,+/-0.1,"9,018",+/-988,9.8%,+/-1.1,87,+/-69,0.1%,+/-0.1,523,+/-242,0.6%,+/-0.3,"4,571",+/-643,5.0%,+/-0.7
Sierra Madre city,"10,932",+/-48,"1,572",+/-369,14.4%,+/-3.4,"7,250",+/-480,66.3%,+/-4.4,83,+/-60,0.8%,+/-0.6,8,+/-14,0.1%,+/-0.1,"1,593",+/-352,14.6%,+/-3.2,0,+/-19,0.0%,+/-0.3,58,+/-87,0.5%,+/-0.8,368,+/-205,3.4%,+/-1.9
Signal Hill city,"11,512",+/-26,"3,671",+/-452,31.9%,+/-3.9,"3,347",+/-345,29.1%,+/-3.0,"1,268",+/-465,11.0%,+/-4.0,0,+/-19,0.0%,+/-0.3,"2,865",+/-373,24.9%,+/-3.2,21,+/-27,0.2%,+/-0.2,18,+/-23,0.2%,+/-0.2,322,+/-205,2.8%,+/-1.8
South El Monte city,"20,721",+/-54,"17,060",+/-469,82.3%,+/-2.2,527,+/-210,2.5%,+/-1.0,54,+/-36,0.3%,+/-0.2,20,+/-18,0.1%,+/-0.1,"3,035",+/-425,14.6%,+/-2.1,0,+/-23,0.0%,+/-0.2,8,+/-12,0.0%,+/-0.1,17,+/-23,0.1%,+/-0.1
South Gate city,"94,642",+/-54,"90,459",+/-454,95.6%,+/-0.5,"2,735",+/-367,2.9%,+/-0.4,471,+/-215,0.5%,+/-0.2,90,+/-57,0.1%,+/-0.1,510,+/-266,0.5%,+/-0.3,177,+/-131,0.2%,+/-0.1,14,+/-22,0.0%,+/-0.1,186,+/-90,0.2%,+/-0.1
South Monrovia Island CDP,"6,572",+/-660,"4,621",+/-615,70.3%,+/-4.8,591,+/-174,9.0%,+/-2.5,598,+/-111,9.1%,+/-1.8,0,+/-17,0.0%,+/-0.5,649,+/-243,9.9%,+/-3.7,7,+/-15,0.1%,+/-0.2,14,+/-15,0.2%,+/-0.2,92,+/-78,1.4%,+/-1.2
South Pasadena city,"25,661",+/-32,"4,745",+/-563,18.5%,+/-2.2,"10,956",+/-572,42.7%,+/-2.2,796,+/-341,3.1%,+/-1.3,46,+/-71,0.2%,+/-0.3,"7,781",+/-512,30.3%,+/-2.0,0,+/-23,0.0%,+/-0.1,140,+/-97,0.5%,+/-0.4,"1,197",+/-398,4.7%,+/-1.5
South San Gabriel CDP,"8,138",+/-968,"2,789",+/-618,34.3%,+/-5.5,539,+/-228,6.6%,+/-2.8,18,+/-20,0.2%,+/-0.2,10,+/-17,0.1%,+/-0.2,"4,721",+/-688,58.0%,+/-6.0,0,+/-17,0.0%,+/-0.4,0,+/-17,0.0%,+/-0.4,61,+/-50,0.7%,+/-0.6
South San Jose Hills CDP,"19,977",+/-976,"17,266",+/-998,86.4%,+/-1.6,574,+/-144,2.9%,+/-0.7,141,+/-91,0.7%,+/-0.5,0,+/-19,0.0%,+/-0.2,"1,913",+/-323,9.6%,+/-1.7,13,+/-20,0.1%,+/-0.1,13,+/-20,0.1%,+/-0.1,57,+/-59,0.3%,+/-0.3
South Whittier CDP,"60,357","+/-1,735","46,923","+/-1,876",77.7%,+/-1.8,"8,034",+/-765,13.3%,+/-1.3,404,+/-161,0.7%,+/-0.3,315,+/-275,0.5%,+/-0.5,"3,224",+/-498,5.3%,+/-0.8,177,+/-236,0.3%,+/-0.4,603,+/-342,1.0%,+/-0.6,677,+/-276,1.1%,+/-0.5
Stevenson Ranch CDP,"19,179",+/-772,"2,789",+/-582,14.5%,+/-2.8,"9,820",+/-588,51.2%,+/-3.2,659,+/-339,3.4%,+/-1.7,0,+/-19,0.0%,+/-0.2,"4,680",+/-564,24.4%,+/-2.9,0,+/-19,0.0%,+/-0.2,0,+/-19,0.0%,+/-0.2,"1,231",+/-523,6.4%,+/-2.7
Sun Village CDP,"13,819",+/-978,"9,276","+/-1,028",67.1%,+/-5.3,"3,213",+/-591,23.3%,+/-4.4,748,+/-575,5.4%,+/-4.1,191,+/-175,1.4%,+/-1.2,174,+/-157,1.3%,+/-1.1,0,+/-19,0.0%,+/-0.3,0,+/-19,0.0%,+/-0.3,217,+/-146,1.6%,+/-1.0
Temple City city,"36,042",+/-56,"7,015",+/-654,19.5%,+/-1.8,"5,408",+/-516,15.0%,+/-1.4,217,+/-153,0.6%,+/-0.4,114,+/-75,0.3%,+/-0.2,"22,487",+/-788,62.4%,+/-2.2,182,+/-161,0.5%,+/-0.4,9,+/-14,0.0%,+/-0.1,610,+/-218,1.7%,+/-0.6
Topanga CDP,"7,900",+/-616,694,+/-298,8.8%,+/-3.7,"6,289",+/-630,79.6%,+/-4.2,146,+/-91,1.8%,+/-1.2,0,+/-17,0.0%,+/-0.4,532,+/-230,6.7%,+/-2.9,0,+/-17,0.0%,+/-0.4,0,+/-17,0.0%,+/-0.4,239,+/-153,3.0%,+/-1.9
Torrance city,"145,492",+/-48,"27,069","+/-1,386",18.6%,+/-1.0,"54,416","+/-1,506",37.4%,+/-1.0,"3,852",+/-709,2.6%,+/-0.5,514,+/-289,0.4%,+/-0.2,"51,726","+/-1,417",35.6%,+/-1.0,699,+/-367,0.5%,+/-0.3,480,+/-221,0.3%,+/-0.2,"6,736",+/-812,4.6%,+/-0.6
Valinda CDP,"23,705","+/-1,159","18,243","+/-1,129",77.0%,+/-2.3,"1,127",+/-251,4.8%,+/-1.1,406,+/-206,1.7%,+/-0.9,50,+/-64,0.2%,+/-0.3,"3,576",+/-535,15.1%,+/-2.2,89,+/-91,0.4%,+/-0.4,102,+/-138,0.4%,+/-0.6,112,+/-67,0.5%,+/-0.3
Val Verde CDP,"2,734",+/-317,"1,813",+/-333,66.3%,+/-5.8,730,+/-133,26.7%,+/-5.5,65,+/-52,2.4%,+/-2.0,0,+/-12,0.0%,+/-1.3,95,+/-56,3.5%,+/-2.1,0,+/-12,0.0%,+/-1.3,0,+/-12,0.0%,+/-1.3,31,+/-25,1.1%,+/-0.9
Vernon city,130,+/-54,101,+/-45,77.7%,+/-19.0,8,+/-10,6.2%,+/-7.3,18,+/-26,13.8%,+/-16.8,0,+/-12,0.0%,+/-23.3,3,+/-6,2.3%,+/-4.9,0,+/-12,0.0%,+/-23.3,0,+/-12,0.0%,+/-23.3,0,+/-12,0.0%,+/-23.3
View Park-Windsor Hills CDP,"11,756",+/-786,945,+/-212,8.0%,+/-1.8,737,+/-271,6.3%,+/-2.3,"9,166",+/-777,78.0%,+/-3.9,82,+/-95,0.7%,+/-0.8,276,+/-170,2.3%,+/-1.4,18,+/-27,0.2%,+/-0.2,52,+/-61,0.4%,+/-0.5,480,+/-249,4.1%,+/-2.1
Vincent CDP,"16,225","+/-1,022","12,119","+/-1,008",74.7%,+/-3.3,"1,855",+/-305,11.4%,+/-1.8,209,+/-120,1.3%,+/-0.8,0,+/-19,0.0%,+/-0.2,"1,602",+/-391,9.9%,+/-2.3,46,+/-47,0.3%,+/-0.3,97,+/-135,0.6%,+/-0.8,297,+/-174,1.8%,+/-1.1
Walnut city,"29,903",+/-34,"6,048",+/-554,20.2%,+/-1.9,"3,107",+/-394,10.4%,+/-1.3,"1,263",+/-437,4.2%,+/-1.5,14,+/-21,0.0%,+/-0.1,"18,703",+/-679,62.5%,+/-2.3,106,+/-146,0.4%,+/-0.5,19,+/-21,0.1%,+/-0.1,643,+/-263,2.2%,+/-0.9
Walnut Park CDP,"15,896",+/-803,"15,501",+/-816,97.5%,+/-0.9,185,+/-71,1.2%,+/-0.4,6,+/-10,0.0%,+/-0.1,16,+/-24,0.1%,+/-0.1,135,+/-100,0.8%,+/-0.6,0,+/-19,0.0%,+/-0.2,29,+/-27,0.2%,+/-0.2,24,+/-25,0.2%,+/-0.2
West Athens CDP,"9,706",+/-842,"4,474",+/-707,46.1%,+/-5.8,45,+/-26,0.5%,+/-0.3,"4,986",+/-691,51.4%,+/-5.9,0,+/-17,0.0%,+/-0.4,83,+/-80,0.9%,+/-0.8,18,+/-30,0.2%,+/-0.3,79,+/-75,0.8%,+/-0.8,21,+/-24,0.2%,+/-0.2
West Carson CDP,"22,079","+/-1,004","7,574",+/-821,34.3%,+/-3.1,"3,593",+/-424,16.3%,+/-1.8,"2,219",+/-327,10.1%,+/-1.5,11,+/-18,0.0%,+/-0.1,"7,815",+/-708,35.4%,+/-2.9,68,+/-80,0.3%,+/-0.4,239,+/-270,1.1%,+/-1.2,560,+/-206,2.5%,+/-0.9
West Covina city,"106,589",+/-78,"56,461","+/-1,368",53.0%,+/-1.3,"12,292",+/-740,11.5%,+/-0.7,"4,239",+/-668,4.0%,+/-0.6,151,+/-89,0.1%,+/-0.1,"30,531","+/-1,325",28.6%,+/-1.2,418,+/-268,0.4%,+/-0.3,336,+/-278,0.3%,+/-0.3,"2,161",+/-403,2.0%,+/-0.4
West Hollywood city,"36,450",+/-56,"3,746",+/-507,10.3%,+/-1.4,"27,480",+/-963,75.4%,+/-2.6,"1,304",+/-389,3.6%,+/-1.1,47,+/-71,0.1%,+/-0.2,"2,044",+/-435,5.6%,+/-1.2,99,+/-112,0.3%,+/-0.3,98,+/-57,0.3%,+/-0.2,"1,632",+/-573,4.5%,+/-1.6
Westlake Village city,"8,358",+/-31,777,+/-231,9.3%,+/-2.8,"6,697",+/-295,80.1%,+/-3.5,101,+/-80,1.2%,+/-1.0,6,+/-14,0.1%,+/-0.2,593,+/-175,7.1%,+/-2.1,0,+/-17,0.0%,+/-0.4,0,+/-17,0.0%,+/-0.4,184,+/-114,2.2%,+/-1.4
Westmont CDP,"35,266","+/-1,181","20,151","+/-1,294",57.1%,+/-2.7,434,+/-171,1.2%,+/-0.5,"14,166","+/-1,041",40.2%,+/-2.9,30,+/-34,0.1%,+/-0.1,82,+/-76,0.2%,+/-0.2,0,+/-26,0.0%,+/-0.1,83,+/-97,0.2%,+/-0.3,320,+/-168,0.9%,+/-0.5
West Puente Valley CDP,"23,382","+/-1,111","19,171","+/-1,088",82.0%,+/-2.3,722,+/-212,3.1%,+/-0.9,333,+/-166,1.4%,+/-0.7,0,+/-23,0.0%,+/-0.1,"3,017",+/-573,12.9%,+/-2.5,17,+/-17,0.1%,+/-0.1,71,+/-105,0.3%,+/-0.4,51,+/-54,0.2%,+/-0.2
West Rancho Dominguez CDP,"22,901","+/-1,466","11,888","+/-1,212",51.9%,+/-3.6,381,+/-175,1.7%,+/-0.8,"9,779",+/-902,42.7%,+/-3.5,13,+/-22,0.1%,+/-0.1,198,+/-85,0.9%,+/-0.4,16,+/-20,0.1%,+/-0.1,46,+/-60,0.2%,+/-0.3,580,+/-376,2.5%,+/-1.6
West Whittier-Los Nietos CDP,"26,654","+/-1,028","23,781","+/-1,115",89.2%,+/-1.4,"2,113",+/-333,7.9%,+/-1.3,142,+/-112,0.5%,+/-0.4,170,+/-186,0.6%,+/-0.7,347,+/-224,1.3%,+/-0.8,24,+/-23,0.1%,+/-0.1,15,+/-26,0.1%,+/-0.1,62,+/-43,0.2%,+/-0.2
Whittier city,"86,090",+/-79,"57,956","+/-1,323",67.3%,+/-1.5,"20,835","+/-1,234",24.2%,+/-1.4,901,+/-319,1.0%,+/-0.4,274,+/-139,0.3%,+/-0.2,"4,097",+/-698,4.8%,+/-0.8,22,+/-40,0.0%,+/-0.1,"1,085",+/-408,1.3%,+/-0.5,920,+/-270,1.1%,+/-0.3
Willowbrook CDP,"22,811","+/-1,497","18,227","+/-1,548",79.9%,+/-3.3,224,+/-120,1.0%,+/-0.5,"3,837",+/-693,16.8%,+/-3.0,222,+/-324,1.0%,+/-1.4,279,+/-209,1.2%,+/-0.9,0,+/-23,0.0%,+/-0.2,0,+/-23,0.0%,+/-0.2,22,+/-21,0.1%,+/-0.1
Madera County,"155,433",*****,"89,798",*****,57.8%,*****,"53,053",+/-149,34.1%,+/-0.1,"4,770",+/-276,3.1%,+/-0.2,"1,546",+/-231,1.0%,+/-0.1,"3,020",+/-230,1.9%,+/-0.1,141,+/-78,0.1%,+/-0.1,250,+/-191,0.2%,+/-0.1,"2,855",+/-450,1.8%,+/-0.3
Ahwahnee CDP,"2,513",+/-546,234,+/-178,9.3%,+/-7.1,"2,257",+/-544,89.8%,+/-6.9,0,+/-12,0.0%,+/-1.4,0,+/-12,0.0%,+/-1.4,0,+/-12,0.0%,+/-1.4,0,+/-12,0.0%,+/-1.4,0,+/-12,0.0%,+/-1.4,22,+/-30,0.9%,+/-1.3
Bass Lake CDP,449,+/-229,0,+/-12,0.0%,+/-7.5,404,+/-193,90.0%,+/-15.2,0,+/-12,0.0%,+/-7.5,14,+/-29,3.1%,+/-5.5,0,+/-12,0.0%,+/-7.5,0,+/-12,0.0%,+/-7.5,0,+/-12,0.0%,+/-7.5,31,+/-57,6.9%,+/-10.7
