CountyName,Year,Avg Max Air Temp (F),Avg Max Rel Hum (%)
Santa Cruz,2017,67.84668508287292,90.14148351648352
Santa Cruz,2018,67.01838134430726,92.2041095890411
Santa Cruz,2019,66.64387895460797,93.48356164383561
Mendocino,2015,76.52191780821917,78.47945205479452
Mendocino,2016,73.88497267759563,92.47397260273972
Mendocino,2017,70.67567567567568,92.24501424501425
Mendocino,2018,75.72806451612904,90.98119122257053
Mendocino,2019,73.8099706744868,91.18630136986302
Monterey,2015,69.88687434371718,92.1891147089218
Monterey,2016,68.06767643142476,95.15412661584355
Monterey,2017,70.01772741384664,92.82050492610837
Monterey,2018,69.55944785276074,94.22191780821917
Monterey,2019,68.86280506641953,94.12013484523445
San Bernardino,2015,75.82676252319109,62.67883548983364
San Bernardino,2016,75.9313135780628,63.692205491585476
San Bernardino,2017,78.12388730093917,63.194945848375454
